2025-11-11 21:19:39.500 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.500 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.500 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CIVHAMPR: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.500 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.500 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.500 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CPUL: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.501 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.501 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.501 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CCCTP: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.501 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.501 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.501 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product GCC13SM: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.501 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.501 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.501 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product STHK: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.501 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.501 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.501 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CCCHEER: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.501 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.501 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.501 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product PBELBL: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.501 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.501 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.501 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CPCB: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.501 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.502 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.502 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product INSCO: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.502 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.502 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.502 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product AVCRUGFBC500: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.502 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.502 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.502 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product CCCHOR: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.502 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.502 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.502 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product BLD: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.502 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.502 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
2025-11-11 21:19:39.502 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restoring rules for product PSTR: appliedRule string = 'System Default - Maintain GP%'
2025-11-11 21:19:39.502 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Restored full rule: System Default - Maintain GP% (with all metadata)
2025-11-11 21:19:39.502 [http-nio-8080-exec-2] INFO  c.m.pricing.PricingSessionService - Set 1 applied rules on grouped item
